config_index,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,BATCH_SIZE,LEARNING_RATE,WEIGHT_DECAY,GRADIENT_CLIP,mean_epoch,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_specificity,mean_roc_auc,mean_ap,mean_early_stop_ap,std_accuracy,std_precision,std_recall,std_f1,std_specificity,std_roc_auc,std_ap,std_early_stop_ap
55,256,5,0.0,64,0.001,1e-05,5.0,23.5,0.9025925925925926,0.5568884415650502,0.838365588763678,0.6678566661978032,0.9109912864125039,0.9296040140417823,0.7914264259659962,0.7914264259659962,0.018880414463067596,0.05950958601715272,0.018007974067899692,0.043831686605429396,0.021237006616301842,0.017502942727328767,0.03013516443659766,0.03013516443659766
56,256,5,0.1,64,0.001,1e-05,5.0,30.25,0.9114814814814816,0.5886741742016823,0.8015780663073657,0.6778221256819499,0.9258644788626003,0.9177390450572583,0.7800353944716765,0.7800353944716765,0.01048438209657388,0.04253643876707233,0.018417431127829276,0.023470339227624756,0.013578046431086817,0.009070976678889864,0.021813630728599796,0.021813630728599796
57,256,5,0.3,64,0.001,1e-05,5.0,27.25,0.9038888888888889,0.5695730818373563,0.7808263922913605,0.6556973562532485,0.92000709751608,0.9085638308263145,0.7500858868031697,0.7500858868031697,0.020208107949190687,0.08131826527453506,0.01940641880014143,0.04756513077359518,0.02468091128545914,0.007781628115677215,0.017176046371205133,0.017176046371205133
58,256,6,0.0,64,0.001,1e-05,5.0,31.0,0.9177777777777777,0.6098053184622974,0.8159909358157766,0.6974981437699833,0.9311016173350687,0.926318788550252,0.7846867659937079,0.7846867659937079,0.011119338517726158,0.042386339524402544,0.0064543046931898876,0.03032432666811883,0.011758299139374047,0.006033312368946327,0.009326298111456688,0.009326298111456688
59,256,6,0.1,64,0.001,1e-05,5.0,29.25,0.9109259259259259,0.58502017391647,0.8160215580597747,0.6805025746066227,0.9233538466290659,0.9230846317336886,0.7702187432723853,0.7702187432723853,0.011671075004880547,0.04252764600606812,0.012761995462271018,0.02502332607498247,0.014878922575175584,0.009259776764737243,0.023707612213502195,0.023707612213502195
60,256,6,0.3,64,0.001,1e-05,5.0,30.0,0.9081481481481481,0.5870664600562503,0.7967397517556754,0.671564885556287,0.9227230733157264,0.9130869130677419,0.7650175745875372,0.7650175745875372,0.02400274332743652,0.10014244581674464,0.03601077714938806,0.05882260538174331,0.028924879258405162,0.008723379054609487,0.026960026363558733,0.026960026363558733
61,256,7,0.0,64,0.001,1e-05,5.0,43.0,0.9105555555555556,0.5781128467721026,0.8432141107300343,0.6859141156986891,0.9193715855050609,0.9267721430730579,0.7805857627348605,0.7805857627348605,0.008009482263362294,0.024664682087725348,0.024695092607263585,0.0254684274892931,0.005860191709848597,0.022404760416180666,0.041663588749803075,0.041663588749803075
62,256,7,0.1,64,0.001,1e-05,5.0,39.25,0.9085185185185185,0.5788599200066551,0.8176547444063368,0.6757933685917384,0.9204232253752698,0.9154131044407399,0.7666826455246283,0.7666826455246283,0.01544937304786236,0.05447500486484231,0.02834392042107124,0.02904832673170324,0.021071982426519427,0.012442525229021291,0.018710443393522302,0.018710443393522302
63,256,7,0.3,64,0.001,1e-05,5.0,48.25,0.9142592592592592,0.6023807707387312,0.7775600195982362,0.6778971875840882,0.9321441308245615,0.9059298329185916,0.7653559349390238,0.7653559349390238,0.00913997235500227,0.04003828765551017,0.028248832751851593,0.022367928182806137,0.012022966562780662,0.012567209071499568,0.02873785141687632,0.02873785141687632
64,256,8,0.0,64,0.001,1e-05,5.0,46.25,0.887962962962963,0.5110307861510285,0.7824902008819206,0.6179342410528409,0.9017789071088891,0.8932281573078802,0.7159775954512959,0.7159775954512959,0.0175747147628078,0.050508766375556687,0.0766668027668577,0.05851161139403325,0.012684698961505413,0.03047196958070982,0.05792124218811109,0.05792124218811109
65,256,8,0.1,64,0.001,1e-05,5.0,42.25,0.883888888888889,0.5009650762822205,0.8079679078882902,0.6177741305342285,0.8938243887782023,0.8980899097437546,0.741228944889054,0.741228944889054,0.013434118402993927,0.035628632858601315,0.02312851206545943,0.027749543375687722,0.0157441458494047,0.015139738126160221,0.027935352717268994,0.027935352717268994
66,256,8,0.3,64,0.001,1e-05,5.0,41.0,0.8925925925925926,0.5321152906233552,0.8047627796831618,0.6371186244731822,0.904084546790954,0.9049420378387224,0.7518324173746891,0.7518324173746891,0.02162996786476621,0.07190833793201348,0.03667988881411236,0.04028494709563422,0.028410674470264904,0.010246980442672164,0.020522976897262558,0.020522976897262558
67,256,9,0.0,64,0.001,1e-05,5.0,65.75,0.8905555555555555,0.5178505490402997,0.8399783602809081,0.6403514775440677,0.8971692073106521,0.9157171099255788,0.7536039893517212,0.7536039893517212,0.011764726055013757,0.03084868083675496,0.030203597987194967,0.02855148266480025,0.012381110525130683,0.007628460437301626,0.037350969707002815,0.037350969707002815
68,256,9,0.1,64,0.001,1e-05,5.0,37.25,0.8953703703703704,0.5467094495434837,0.7697411399640699,0.6329514857533014,0.9118416193849942,0.8901473570969417,0.7274048718439728,0.7274048718439728,0.022649190390199476,0.08897879383726359,0.06935321461921619,0.042131418410360964,0.03210415232981683,0.021762507911138523,0.03629982501060692,0.03629982501060692
69,256,9,0.3,64,0.001,1e-05,5.0,76.5,0.8948148148148148,0.5348675984826238,0.7472848276988404,0.622391890661068,0.9141351490618782,0.8828361206989359,0.7136377169559418,0.7136377169559418,0.012020406365074628,0.0400150850860704,0.044391916902183325,0.02986589807575411,0.014950800146525311,0.019928635430567814,0.045400139043888704,0.045400139043888704
70,256,10,0.0,64,0.001,1e-05,5.0,14.25,0.8735185185185186,0.5154833890047583,0.7198575044912625,0.5848319264360194,0.8935871028795838,0.8606369028401853,0.6477113598702839,0.6477113598702839,0.0648740470088667,0.1335289316277141,0.09551297550237926,0.0874698491474753,0.08207727699480684,0.034431029084541626,0.0402491764825724,0.0402491764825724
71,256,10,0.1,64,0.001,1e-05,5.0,42.75,0.866111111111111,0.46368057179092514,0.758441531928793,0.5719518051246317,0.8802162531012143,0.8703974459982649,0.6628098017986034,0.6628098017986034,0.03215403598583428,0.0750849265662101,0.0217476197894494,0.053321819649146555,0.03872936267506945,0.011291440280283973,0.030744581703849753,0.030744581703849753
72,256,10,0.3,64,0.001,1e-05,5.0,56.5,0.8848148148148148,0.5018795124889192,0.7440082475910501,0.5993419948507812,0.9032443932431085,0.8706258551117706,0.6637390540253058,0.6637390540253058,0.007066216306792209,0.01966515049048292,0.02385007524678817,0.020515212395522016,0.00605875662210737,0.011380350168068265,0.025458374322646995,0.025458374322646995
