iter	MAE	RMSE
822	34978.42014	161857.17
823	34977.13473	161802.3862
824	34969.36414	161748.3711
825	34954.98175	161630.5406
826	34942.32839	161429.6821
827	34929.60356	161242.2511
828	34925.5094	161197.8477
829	34877.22591	161022.8929
830	34881.71	160985.6522
831	34870.05538	160906.6857
832	34859.50048	160645.108
833	34844.84183	160593.6623
834	34830.7274	160514.6216
835	34803.6005	160405.6313
836	34797.7734	160349.911
837	34762.25916	160223.3062
838	34739.98223	159975.0613
839	34734.84905	159928.6671
840	34722.05514	159851.9471
841	34697.86278	159732.552
842	34689.18906	159712.543
843	34673.26399	159648.909
844	34670.34469	159574.0848
845	34659.37892	159448.4074
846	34632.84763	159390.9917
847	34624.36558	159355.1314
848	34600.41155	159261.7892
849	34594.21562	159193.6506
850	34590.01267	159122.0499
851	34580.84619	159054.8855
852	34566.10632	158996.2436
853	34556.14928	158639.4324
854	34534.61645	158496.6821
855	34518.19461	158414.9465
856	34499.13249	158336.9584
857	34454.37227	158233.8695
858	34451.0103	158068.8386
859	34443.72928	157971.4362
860	34393.26516	157860.1262
861	34380.76126	157790.6477
862	34372.12294	157451.2211
863	34367.44708	157425.1735
864	34354.94841	157367.9694
865	34338.1129	157191.4745
866	34316.16076	157030.4829
867	34308.22076	156906.318
868	34290.63675	156838.9216
869	34285.18133	156787.1037
870	34273.38944	156598.1384
871	34241.04741	156439.3526
872	34226.47717	156106.7704
873	34219.39458	156034.2105
874	34201.30072	155983.8785
875	34190.91001	155805.6046
876	34180.90929	155604.8606
877	34164.46398	155196.4163
878	34160.33977	155094.2128
879	34132.8418	154999.7901
880	34123.64254	154918.6347
881	34119.61611	154890.713
882	34113.14639	154839.1935
883	34103.83988	154819.9039
884	34097.83898	154752.9999
885	34086.51166	154691.1782
886	34073.76901	154649.2204
887	34068.33706	154579.5339
888	34065.34336	154527.0923
889	34066.49771	154479.1406
890	34050.16058	154371.5213
891	34044.41516	154275.3718
892	34024.45668	154202.6219
893	34008.64071	154127.7899
894	34010.38717	154107.5649
895	34005.70365	154072.759
896	34000.93514	153935.0396
897	33987.94077	153881.236
898	33983.9691	153796.2342
899	33970.3772	153494.5785
900	33960.75639	153457.282
901	33950.12349	153374.7789
902	33906.42587	153241.9098
903	33905.55692	153197.5146
904	33888.49763	152930.1488
905	33868.982	152845.0511
906	33866.12621	152620.69
907	33860.9308	152576.89
908	33849.84812	152554.8302
909	33838.48248	152516.6457
910	33802.226	152430.3322
911	33792.23937	152392.4801
912	33777.10662	152234.2533
913	33768.62941	152122.7887
914	33744.94462	151970.754
915	33737.89761	151911.944
916	33716.64983	151844.8392
917	33709.27709	151795.9162
918	33698.09246	151721.8186
919	33687.45695	151606.927
920	33683.1342	151538.1085
921	33662.57308	151415.9047
922	33659.88569	151357.5717
923	33651.93724	151285.3117
924	33616.09206	151168.9521
925	33610.02157	150975.6382
926	33607.32023	150954.2045
927	33598.97928	150890.1479
928	33591.26241	150853.2262
929	33585.66117	150629.6475
930	33581.27898	150584.2161
931	33581.18823	150528.8343
932	33574.89283	150483.6751
933	33568.2323	150273.8109
934	33570.1754	150239.0916
935	33549.63678	150149.7547
936	33539.63695	150070.8728
937	33528.11658	150023.0255
938	33518.2764	149964.87
939	33503.87315	149923.4771
940	33498.08262	149873.2752
941	33480.28441	149797.2152
942	33461.47834	149626.0609
943	33448.57132	149534.6778
944	33432.69085	149478.4217
945	33415.05882	149421.311
946	33380.40309	149310.5115
947	33370.06464	149243.6327
948	33352.89383	149187.1784
949	33340.49869	148918.4315
950	33334.87602	148857.264
951	33329.58042	148803.6138
952	33323.15106	148752.9529
953	33310.30204	148658.3657
954	33302.70808	148608.8796
955	33281.98303	148537.0938
956	33282.21645	148493.5772
957	33274.82157	148450.1266
958	33248.60188	148321.2507
959	33226.05871	148224.0018
960	33222.93395	148165.9117
961	33224.53556	148114.9699
962	33210.66738	147966.313
963	33198.48006	147913.9206
964	33190.68936	147721.4617
965	33187.96828	147663.9036
966	33183.25176	147619.0812
967	33165.76936	147528.9982
968	33157.88102	147472.8498
969	33156.69585	147422.4907
970	33159.60085	147398.8441
971	33138.87531	147307.1051
972	33126.25013	147199.4136
973	33127.85702	147129.9195
974	33118.85237	146926.0218
975	33107.36822	146821.2468
976	33096.99118	146772.8474
977	33082.03719	146742.1985
978	33071.35791	146709.1767
979	33057.74956	146673.2074
980	33052.4542	146623.152
981	33050.59934	146590.4671
982	33037.46959	146514.9492
983	33031.75844	146468.6967
984	33022.39151	146390.2243
985	32989.9176	146263.8455
986	32973.50312	146191.3646
987	32952.29083	146087.6267
988	32943.74992	146046.336
989	32900.1526	145939.4087
990	32886.62443	145853.1742
991	32878.39168	145808.799
992	32852.16361	145716.1986
993	32846.17374	145623.562
994	32832.99294	145547.8617
995	32830.70225	145513.7031
996	32819.47623	145487.6901
997	32806.69579	145458.638
998	32790.36477	145388.2813
999	32788.95767	145348.8387
